S1_NPTXR_1	S1_NPTXR_2	S1_NPTXR_3	S1_NPTXR_4	S1_NPTXR_5	S1_Scramble_1	S1_Scramble_2	S1_Scramble_3	S1_Scramble_4	S1_Scramble_5	S2_NPTX2_1	S2_NPTX2_2	S2_NPTX2_3	S2_NPTX2_4	S2_NPTX2_5	S2_NPTXR_1	S2_NPTXR_2	S2_NPTXR_3	S2_Scramble_1	S2_Scramble_2	S2_Scramble_3
sp|A2RRP1|NBAS_HUMAN	-0.0658696137283921	-0.359049692696608	-0.111758584232191	0.204036526219013	0.206998909653781	0.155954180649338	0.180276468198305	-0.0833331201398702	-0.128118306933731	0.000863233010340298	-0.115209100373929	0.0414962812823289	0.118837489000851	0.195145298713812	-0.133788210034901	-0.080719238174217	0.0529224197554122	-0.183239764595595	0.0748229750733529	0.0552162946978595	-0.0254844453449808
sp|A2RTX5|SYTC2_HUMAN	-0.172353808492183	-0.227833095668204	-0.205212558931581	0.08260603114862	0.128205304075949	0.0592851819662116	0.0793293034331799	0.0694114224673641	0.0692764075046761	0.117285812495958	-0.1163001568626	0.161374513367234	0.212336900570258	0.0627723338280615	-0.206979443588552	-0.0757769927146733	-0.117976660633815	-0.214204206359411	0.172315439218258	0.142212273374389	-0.0197740001991536
sp|A2RU49|HYKK_HUMAN	-0.184514622423601	-0.036228127582705	0.128545842217207	0.117612910634618	0.36809042822245	-0.15477012914469	0.0835716030633101	-0.25652989497483	-0.0994398808698818	0.0336618708581125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A2RU67|F234B_HUMAN	-0.0402015024189467	-0.282199888606768	-0.0748347685431815	0.555723860583556	0.276032772366033	0.0413371985193029	0.0488982378192091	-0.150293225711431	-0.313838893049512	-0.0606237909582733	-0.746174728760761	-0.00539127237686182	0.342444755771234	-0.157068769372555	-0.393662132823916	0.002949930951282	0.193022109376729	-0.0373988415997961	0.313560804064891	0.318695248014941	0.169022896754806
sp|A2RUC4|TYW5_HUMAN	-0.0407302479909975	-0.417060739973307	-0.0552327078005465	0.202888162261313	0.15814871492288	0.10791709254727	0.132032800800531	0.0178145783694416	-0.0901710081662387	-0.0156066449703571	-0.165199365613743	0.156589913848513	0.0818802353279933	0.224969034891592	-0.147598826897032	-0.0895545865028784	-0.0307377144728335	-0.147901780622033	0.0617774075495952	0.0596188532185083	-0.00384317072768551
sp|A2RUS2|DEND3_HUMAN	-0.0148075741821489	-0.307281901752408	-0.137233146678245	0.127220575788425	0.227618463821955	0.0968063560626364	0.173487675470438	-0.0306736185066549	-0.114071956723913	-0.0210648733000969	0.000525789272418732	0.0907592180279357	0.0102274447224233	0.148569049757358	-0.0771209330045845	0.0909780848594864	-0.0733683131378533	-0.279236062475813	0.0643588920159137	0.0895344592066775	-0.0652276292439693
sp|A3KMH1|VWA8_HUMAN	-0.00180149131456718	-0.246918463355269	-0.0730284171018485	0.152406852462462	0.190976231897428	0.115948486619552	0.172025934822103	-0.110440082220294	-0.127205133313188	-0.0719639184963916	-0.0137213981843044	0.0409880727591376	0.0839350425031717	0.15172658085219	-0.101786651217856	-0.019964813759133	0.013952806950917	-0.132363774550962	0.0545894723737587	0.0419381158191902	-0.119293453546118
sp|A3KN83|SBNO1_HUMAN	-0.0934595356017913	-0.347506799701003	-0.111721593029509	0.279237362639116	0.196588601586273	0.0972720247871878	0.136970702690634	-0.0576611484436528	-0.114922920402083	0.0152033054748151	0.0550811287463863	0.0978733517236924	0.0877347523718022	0.195886213497307	-0.139296812626846	-0.0814235433741632	0.0356462450363843	-0.224633595535002	0.0805938935222655	0.0144913285819023	-0.121952961943734
sp|A4D161|F221A_HUMAN	0.0706083413770129	-0.170281231456249	-0.0345942474612853	0.278650663373299	0.384006108964318	-0.190457002090097	-0.0308766510887232	-0.137993743046378	-0.108057240805415	-0.0610049977664927	0.0595335766964913	0.0734139821805775	0.0931097800384636	0.129017311124125	-0.211864871933796	-0.00310472670091866	0.0568517542451582	-0.0894732024606585	0.0682284289208731	-0.0744753592560841	-0.101236672854238
sp|A4D1E9|GTPBA_HUMAN	-0.0161556529974765	-0.306260807230273	-0.0892236980152416	0.15079962054268	0.177616702402014	0.153233861888982	0.226609781072502	-0.070678514266109	-0.11508762660128	-0.110853666795811	-0.148078995721778	0.0268623808478499	0.0669772536751131	0.173585719820418	-0.0700378674553696	-0.066620053668876	0.0683159778633174	-0.159984738107649	0.114879968258386	0.156360637541543	-0.162260283052962
sp|A4D1P6|WDR91_HUMAN	-0.0331949626260748	-0.323842306578332	-0.144506092881927	0.176850334236732	0.213251916699974	0.105320046374875	0.142529621528071	-0.056701387460609	-0.0847114287868427	0.00500425949412017	-0.0601781252103669	0.110769078919036	0.144751119320866	0.233481908838572	-0.172945487870622	-0.0851905705164008	0.0262038651433959	-0.193859356626858	0.0900096394464862	0.0607077918760991	-0.153749863320215
sp|A4D1S5|RAB19_HUMAN	-0.134230569365594	-0.551872570882034	-0.192477023773801	0.0828322271294499	0.116104596243695	0.327869681296565	0.298988054913762	0.0459172109346548	-0.101145058447034	0.108013451950324	-0.0354121243424352	0.218782129500696	0.21868517159769	0.177385745670434	-0.0915937531566183	-0.250533430920432	-0.151614271611089	-0.341940025591324	0.137570361132909	0.0359481936469348	0.08272200407323
sp|A4D1U4|DEN11_HUMAN	-0.0312392742828583	-0.36226659806177	-0.113727336355179	0.135531418694298	0.113838698395567	0.0928574023942661	0.202752823837565	-0.028594300472008	-0.065635096903018	0.0564822627531257	-0.0413579647893602	0.183570438396093	0.108399985422097	0.189869083016898	-0.108368115671163	-0.116756792125791	-0.0752222789076698	-0.285599926184157	0.0633768470086426	0.146678827239192	-0.0645901034047867
sp|A4D2B0|MBLC1_HUMAN	-0.046171878285204	-0.359209518534088	-0.0666175277987866	0.164361998347537	0.210188323253517	0.0544727444814295	0.127621197473661	-0.0970879167175648	-0.0188266153660128	0.0312691931454997	0.0122336034523503	0.185834865488406	0.147005784160914	0.163991363924948	-0.18640981539418	-0.171899897011021	-0.0132717551299525	-0.244709049235885	0.184096438929835	0.0307420902169488	-0.10761362940237
sp|A5A3E0|POTEF_HUMAN	-0.362870005643914	-0.202313203010807	-0.15765622677958	0.222917621399925	0.289203900720021	0.128306891735643	0.0549215532018668	-0.0279842944579718	-0.0745510479370363	0.130024810771845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A5D8V6|VP37C_HUMAN	0.0213535642085728	-0.304741962157558	-0.0188995859875775	0.211784874281503	0.328984887858833	-0.00989499158958907	0.0530241238586791	-0.054043959961641	-0.186802016397234	-0.0407649341139985	-0.285247995666979	0.137246145714667	0.0538874008030713	0.195082337525957	-0.243206223868498	0.000981813923129319	-0.01087184248584	-0.0498391414912301	0.0859184567576128	0.116960966785704	-0.000911917997597951
sp|A5PLL7|TM189_HUMAN	-0.151721645343363	-0.24593925994142	-0.0530256578707384	0.206135331011587	0.404255517115992	-0.0952746913255498	0.0468014385915112	-0.00773227240901361	-0.0841996839224287	-0.0192990759065871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A5PLN9|TPC13_HUMAN	-0.00932109117565291	-0.380600059678132	-0.154261052683549	0.215396342705536	0.190857319692161	0.136670889547933	0.179810228286561	-0.083945862232264	-0.0987468100044892	0.0041400955418824	-0.040007648523226	0.0848997096773952	0.124574194575293	0.139596374539539	-0.115552795811345	-0.0318533552453677	0.0447588939836722	-0.232932603351799	0.0684147609541872	0.0670053682777662	-0.10890289907612
sp|A5YKK6|CNOT1_HUMAN	-0.0506525554616207	-0.335097758428736	-0.0959951501178666	0.231483705701215	0.210873212209314	0.123222386278315	0.148149394016681	-0.0754353555563193	-0.128542918903426	-0.0280049597375693	-0.0922155722818068	0.0435549299067464	0.0848937782770219	0.13900736220632	-0.132407914358895	-0.0319008485688521	0.0724917819383056	-0.155798940855784	0.0918228165279578	0.0465619295223739	-0.0660093223133962
sp|A5YM69|ARG35_HUMAN	-0.14268810803305	-0.140813423926096	-0.314227119938682	0.1609328312976	0.106305686578077	0.153304764944315	0.018285295991158	0.0293972821126102	0.0396520809954598	0.0898507099785994	-0.145008395443149	0.125393879702794	-0.00891884376065756	0.0174691582645328	-0.299228619270184	0.0880337632875595	0.266550156812884	-0.0205845152529554	0.090612230598901	0.0113027556180283	-0.125621570557758
sp|A6NCE7|MP3B2_HUMAN	-0.134865513350372	-0.409001482771978	-0.260894013033693	0.0704295207433518	0.111570464770843	0.189128258624103	0.331562498052768	0.0319847349482731	-0.020033377301923	0.0901189093186148	-0.032921372059734	0.185540209928914	0.129230723543211	0.303574147897007	-0.0756576999994589	-0.248492742952439	-0.138919323433867	-0.339134060933152	0.0927996786885217	0.170744286140696	-0.0467638468197062
sp|A6NCS6|CB072_HUMAN	0.00457794906200062	-0.399233656924916	-0.129803776389102	0.0960940631556763	0.169635364608957	0.129415065790965	0.269218884207812	-0.106750023649694	-0.0873619189975829	0.0542080491358735	0.0386768505996114	0.0291585661116156	0.0788617762267521	0.168673918374703	0.0221399941581896	-0.176010640068537	-0.0504631749498817	-0.293580041286447	0.035561073889013	0.196467717120598	-0.0494860401756218
sp|A6ND36|FA83G_HUMAN	-0.00815017015933239	-0.295300151380682	-0.0673906913885225	0.25391198589178	0.270082260915036	0.104803267228528	-0.0115300736225625	-0.0921688217281139	-0.0797933883371436	-0.0744642174189988	-7.93988781027714e-05	0.131129258576834	0.278211233163852	0.0383557628368548	-0.188652206678179	-0.0756343136096242	0.0950472735284344	-0.27028097105089	0.0540290176715601	-0.0590497081866034	-0.00307594737413988
sp|A6NDG6|PGP_HUMAN	-0.0343823609608809	-0.336980781862209	-0.0945118157867236	0.22234211375753	0.269715982413515	0.111529606812925	0.148201625827367	-0.0908318636338873	-0.133185155762746	-0.0618973508049029	-0.104041526385776	0.00674258402245387	0.0390360407285144	0.0657029380850232	-0.22539110011004	0.0290025637136731	0.140388348901724	-0.133606055765721	0.145844961974272	0.0588786015699534	-0.022557356734085
sp|A6NDU8|CE051_HUMAN	-0.0686851105297264	-0.308975475072351	-0.195263304840056	0.311221129432988	0.396354116662248	0.0784847615357988	0.140456146744697	-0.119277037446188	-0.169062491299228	-0.0652527351881957	0.0537326993307439	0.132665560601874	0.253421868234133	0.263988437796714	0.0111857192668045	-0.155023783332503	-0.0463128389324961	-0.315059649636302	0.0368652393738922	-0.0443872276259971	-0.191076025076869
sp|A6NE02|BTBDH_HUMAN	-0.178603963158559	-0.438289167538841	-0.145765370123762	0.156552094566929	0.119723214240319	0.138914288834653	0.159535778864881	-0.00690250319694492	0.0141061637417994	0.180729463769515	0.137443504234508	0.161899500003324	0.151299365938497	0.232213822127213	-0.0485095793004336	-0.242538377578462	-0.0612124190046393	-0.314769723959984	0.00183661140072189	0.0551899350335379	-0.072852638894291
sp|A6NED2|RCCD1_HUMAN	-0.0149883559709771	-0.323919120919598	-0.124604427807025	0.239101101405893	0.280585752041134	0.00641642414784129	0.102930055843017	-0.0645241935107493	-0.0985350179567396	-0.00246221727280855	-0.0501405879007345	0.133669049929662	0.185402563162406	0.254117640374356	-0.14631322376322	-0.0853845708918018	0.035350258751944	-0.278542063320732	0.00416750989178125	0.0134084081469961	-0.0657349843806631
sp|A6NFI3|ZN316_HUMAN	-0.187287991850679	-0.530556278746048	-0.0559462283422252	0.278494417766855	0.316377896826635	0.294067086560988	0.0590679362598297	-0.0804946588814214	-0.0670037579035708	-0.0267184216903737	-0.0913927933557672	-0.00126134096871451	0.0465131369664641	0.0310825907645441	-0.228344840424118	-0.103167037054216	-0.137122932365297	-0.0190618803542235	0.142353522456918	0.191537928197089	0.168863646137315
sp|A6NFQ2|TCAF2_HUMAN	-0.0709484367863449	-0.374712036903647	-0.0882621896268339	0.110520345410237	0.171105276146901	0.0839461920788274	0.2109047707818	0.00158148563987813	-0.105190608157428	0.0610552014165992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A6NFY7|SDHF1_HUMAN	-0.0491942130048631	-0.16344079161862	-0.159755135424581	0.151164819929883	0.249765649066751	0.0411625919871633	0.14029151130713	-0.101719835426417	-0.129212758937467	0.0209381621210105	-0.0550721323405277	0.010949341411755	0.0919665143121837	0.0643181092493685	-0.183859924738838	-0.102895569014969	0.201504648080766	0.00399976877228368	0.0229865328119012	-0.0727528093511236	0.0188555208071958
sp|A6NH11|GLTD2_HUMAN	-0.152068903827423	-0.160031511442791	-0.147326537826918	0.239458821326489	0.229272294520233	0.079327463821327	0.0979300774578773	-0.0358617827708463	-0.17739476092872	0.0266948396707606	0.0384180442812304	0.0709886428887092	0.0724848683096418	0.241289910331494	-0.0455491534344029	-0.216722721775179	-0.0644790383332611	-0.288026737667261	0.131522333663286	0.0345187094371862	0.0255551422985498
sp|A6NHL2|TBAL3_HUMAN	-0.0371002736090806	-0.399744538065892	-0.0606508562063501	0.195092108698518	0.248796211863105	0.0976545790489294	0.157583465273561	-0.116447016047048	-0.111997545886755	0.0268138649309995	-0.210906198204135	0.111998214767786	0.151036107591149	0.138949808483442	-0.133755047499379	0.00361841213640062	0.0771487051667852	-0.121853287287113	0.0114596661596876	0.0330887548606253	-0.0607851361752549
sp|A6NHQ2|FBLL1_HUMAN	0.0223564737892824	-0.330321337557399	-0.127128664016288	0.233107505216006	0.271452709314681	0.171990694406517	0.140927797782561	-0.11725740690168	-0.191690091696882	-0.0734376803368123	-0.146510102726874	0.0526131270822141	0.0782720176312467	0.191330347685044	-0.186313537238423	-0.0266740434269136	0.0778398269509974	-0.20406656734191	0.0927650143093254	0.0931271330590456	-0.0223832159837602
sp|A6NHR9|SMHD1_HUMAN	0.0069564097667467	-0.243483282376964	-0.0464234548633413	0.252650321712033	0.248207977421039	0.0796085393277284	0.134162097958189	-0.124433964677587	-0.212504057098588	-0.0947405871692697	-0.11932020078114	0.0296551480647478	0.0496377727140846	0.13716052086851	-0.160465642947052	0.0406202626795476	0.133682063988221	-0.0850238099026479	0.0395204779349874	0.0427964193298549	-0.108263011949121
sp|A6NHX0|CAST2_HUMAN	-0.0835068581239661	-0.317518506979832	-0.1021314899903	0.234482375142318	0.163111763667984	0.0844035430601725	0.195986927319775	-0.080845118783957	-0.0795851234778167	-0.0143975118343903	-0.131013979107586	0.0500817325716168	0.144950781288657	0.267657345603338	-0.132272594602013	-0.0671326815211636	0.103778566583029	-0.226315290969086	0.0554842073289719	0.0458605808802419	-0.11107866805601
sp|A6NIH7|U119B_HUMAN	-0.0784255548968012	-0.294310907486844	-0.177777832292583	0.228082130717531	0.242553805865786	0.160610077007577	0.108162301116382	-0.01252388168111	-0.152121909826415	-0.0242482285235362	-0.0140289943313542	0.0621733361816725	0.121002176450154	0.169081379802925	-0.196641971381574	-0.149076145697529	0.0197170383244552	-0.232736449663108	0.193521946874574	0.109826001995828	-0.0828383185560496
sp|A6NJ46|NKX63_HUMAN	-0.387771533937219	-0.637393090424845	-0.365781485592009	-0.0577277283267369	0.016842009965782	0.382217978671133	0.348811209852631	0.233573763316583	0.13629087544483	0.330938001029839	0.184577917277395	0.290955683299146	0.294325865824049	0.28670527551438	0.0864386857939071	-0.412463922285502	-0.37916017305446	-0.604209317645901	0.124941431237578	0.144059450760532	-0.0161708967211312
sp|A6NJ78|MET15_HUMAN	-0.0577561649562459	-0.235294904697078	-0.167390449248776	0.13667089037932	0.583133031843197	0.0518611756121928	-0.0337731206046871	-0.0948478835334281	-0.193151091741363	0.0105485169468563	-0.000551332414176203	0.073755147995606	0.0532411583716081	0.239556314254035	-0.107938537570148	-0.0851384631473871	0.00898175629405041	-0.0997335268191703	-0.00371152535665324	0.0232577288042898	-0.10171872041206
sp|A6NK44|GLOD5_HUMAN	0.141793733441277	-0.269233781406379	-0.00210774250150086	0.00390188116369547	0.0942281228715658	0.0686167511015837	0.0299888513266389	-0.0650592276738875	-0.0690094704844114	0.0668808821614087	0.376028373662169	0.00565823034306218	0.0793247604253444	0.0876197214141527	-0.0729034694830094	-0.126969969325391	0.113274769579305	-0.23161460713813	0.00795425735157383	-0.0181635297719118	-0.22020853705717
sp|A6NK58|LIPT2_HUMAN	-0.048207891222641	-0.216948493043667	-0.166547913033987	0.287274210188551	0.22523855120181	0.146064847050877	0.0636209804835449	-0.0993312737479792	-0.214313231459928	0.0231502135834085	0.011280675837464	0.083565028082662	0.160357958281183	0.077338638309959	-0.0747256515914934	-0.00956153062100306	0.0187876223008416	-0.321453930762336	0.0778506711524881	0.0392022180624102	-0.0626416990521805
sp|A6NKD9|CC85C_HUMAN	-0.289927481454659	-0.520774596170623	-0.375428735214476	0.0258338594539136	0.0986881414942832	0.196382054703306	0.365277822241676	0.0907912905460979	0.20145242699967	0.207705217400802	-0.135771009608606	0.192318152974419	0.241629181476457	0.239256294487674	-0.107417531087001	-0.258375052556281	-0.0977229791171612	-0.392322174602685	0.219039904920848	0.0501955081321216	0.0491697049802099
